# created from Y0mm_Mean.dat file and invalid data removed,,,
# coordinates converted to meters,,,
# coordinate system and position updated to match global coordinate system,,,
# all data is taken on the Y = 0 mm plane and provided as a mean,,,
# link to original paper: https://doi.org/10.1016/j.jweia.2022.105049,,,
# 2,2,,
# Streamwise Location, Location from wheel centre of rotation, Streamwise velocity, Vertical velocity
# m, m, m/s, m/s
# x, z, Vx, Vz
0.246775,0.213539,33.9679,-3.57453
0.245309,0.213539,33.9875,-3.61815
0.243843,0.213539,34.0183,-3.6736
0.242377,0.213539,34.0421,-3.71717
0.240911,0.213539,34.095,-3.74066
0.239445,0.213539,34.1264,-3.79586
0.237979,0.213539,34.1627,-3.87649
0.236513,0.213539,34.2007,-3.93014
0.235047,0.213539,34.2542,-3.96222
0.233581,0.213539,34.3008,-3.96743
0.232115,0.213539,34.3341,-3.98416
0.230649,0.213539,34.3624,-4.00656
0.229183,0.213539,34.383,-4.02242
0.227717,0.213539,34.4208,-4.02597
0.226251,0.213539,34.4723,-4.00305
0.224785,0.213539,34.5304,-4.00532
0.223319,0.213539,34.5999,-4.052
0.221853,0.213539,34.6639,-4.1314
0.220387,0.213539,34.7329,-4.19992
0.218921,0.213539,34.7629,-4.23388
0.217455,0.213539,34.7781,-4.23444
0.215989,0.213539,34.8075,-4.22203
0.214523,0.213539,34.8513,-4.19602
0.213056,0.213539,34.8858,-4.19844
0.21159,0.213539,34.949,-4.22701
0.210124,0.213539,35.0261,-4.2624
0.208658,0.213539,35.0887,-4.30188
0.207192,0.213539,35.1258,-4.31
0.205726,0.213539,35.163,-4.32848
0.20426,0.213539,35.2544,-4.33558
0.202794,0.213539,35.3044,-4.34832
0.201328,0.213539,35.3489,-4.3542
0.199862,0.213539,35.3933,-4.36774
0.198396,0.213539,35.4344,-4.3883
0.19693,0.213539,35.4624,-4.39377
0.195464,0.213539,35.5124,-4.38393
0.193998,0.213539,35.5713,-4.37439
0.192532,0.213539,35.6393,-4.35435
0.191066,0.213539,35.6862,-4.33192
0.1896,0.213539,35.7459,-4.30336
0.188134,0.213539,35.7879,-4.27051
0.186668,0.213539,35.8289,-4.25237
0.185202,0.213539,35.8691,-4.23955
0.183736,0.213539,35.9295,-4.22307
0.18227,0.213539,35.9545,-4.18477
0.180804,0.213539,36.0142,-4.17324
0.179338,0.213539,36.0584,-4.13768
0.177872,0.213539,36.0924,-4.10621
0.176406,0.213539,36.124,-4.08075
0.17494,0.213539,36.158,-4.05152
0.173474,0.213539,36.2021,-4.02418
0.172008,0.213539,36.2597,-4.00339
0.170542,0.213539,36.3282,-3.97474
0.169076,0.213539,36.389,-3.9545
0.167609,0.213539,36.4401,-3.93723
0.166143,0.213539,36.4884,-3.90968
0.164677,0.213539,36.5374,-3.88469
0.163211,0.213539,36.5872,-3.85437
0.161745,0.213539,36.6382,-3.80478
0.160279,0.213539,36.6955,-3.75221
0.158813,0.213539,36.7494,-3.70847
0.157347,0.213539,36.8064,-3.66727
0.155881,0.213539,36.8676,-3.61324
0.154415,0.213539,36.9387,-3.53464
0.152949,0.213539,37.0194,-3.45429
0.151483,0.213539,37.0881,-3.4154
0.150017,0.213539,37.1372,-3.39419
0.148551,0.213539,37.1688,-3.33766
0.147085,0.213539,37.2106,-3.27227
0.145619,0.213539,37.2666,-3.20151
0.144153,0.213539,37.3392,-3.11614
0.142687,0.213539,37.4258,-3.0361
0.141221,0.213539,37.5146,-2.96126
0.139755,0.213539,37.6005,-2.88268
0.138289,0.213539,37.6731,-2.79497
0.136823,0.213539,37.7359,-2.71024
0.135357,0.213539,37.805,-2.62624
0.133891,0.213539,37.8703,-2.53123
0.132425,0.213539,37.9165,-2.43149
0.130959,0.213539,37.9667,-2.3288
0.129493,0.213539,38.0349,-2.21869
0.128027,0.213539,38.0987,-2.12005
0.126561,0.213539,38.1595,-2.02794
0.125095,0.213539,38.2171,-1.93063
0.123629,0.213539,38.28,-1.83698
0.122163,0.213539,38.3602,-1.74838
0.120696,0.213539,38.4539,-1.64488
0.11923,0.213539,38.55,-1.52354
0.117764,0.213539,38.6404,-1.41284
0.116298,0.213539,38.7079,-1.3221
0.114832,0.213539,38.7618,-1.23701
0.113366,0.213539,38.8166,-1.15106
0.1119,0.213539,38.8708,-1.06276
0.110434,0.213539,38.9242,-0.978969
0.108968,0.213539,38.9903,-0.882945
0.107502,0.213539,39.0504,-0.787386
0.106036,0.213539,39.0894,-0.708408
0.10457,0.213539,39.0958,-0.637858
0.103104,0.213539,39.1005,-0.571416
0.101638,0.213539,39.1203,-0.493761
0.100172,0.213539,39.1381,-0.402168
0.098706,0.213539,39.1671,-0.322132
0.09724,0.213539,39.1988,-0.253337
0.0957739,0.213539,39.2211,-0.191229
0.0943079,0.213539,39.2335,-0.146611
0.0928419,0.213539,39.2274,-0.0981657
0.0913758,0.213539,39.1991,-0.0294328
0.0899098,0.213539,39.1755,0.0475338
0.0884438,0.213539,39.1503,0.13106
0.0869777,0.213539,39.1206,0.211478
0.0855117,0.213539,39.0943,0.295495
0.0840457,0.213539,39.0709,0.373938
0.0825796,0.213539,39.0579,0.439394
0.0811136,0.213539,39.045,0.501494
0.0796476,0.213539,39.0117,0.56074
0.0781815,0.213539,38.9673,0.621169
0.0767155,0.213539,38.9198,0.686835
0.0752495,0.213539,38.9037,0.76031
0.0737835,0.213539,38.9024,0.841166
0.0723174,0.213539,38.8929,0.931036
0.0708514,0.213539,38.8726,1.02456
0.0693854,0.213539,38.8581,1.12548
0.0679193,0.213539,38.855,1.22991
0.0664533,0.213539,38.8579,1.33475
0.0649873,0.213539,38.8667,1.43099
0.0635212,0.213539,38.8754,1.5157
0.0620552,0.213539,38.8769,1.5957
0.0605892,0.213539,38.8823,1.69123
0.0591231,0.213539,38.9035,1.78915
0.0576571,0.213539,38.9287,1.89054
0.0561911,0.213539,38.9577,2.00179
0.054725,0.213539,38.9812,2.1115
0.053259,0.213539,38.9933,2.22898
0.051793,0.213539,39.0105,2.36103
0.0503269,0.213539,39.0268,2.4812
0.0488609,0.213539,39.0421,2.58879
0.0473949,0.213539,39.0651,2.686
0.0459288,0.213539,39.0883,2.7877
0.0444628,0.213539,39.0995,2.89012
0.0429968,0.213539,39.0869,3.00001
0.0415307,0.213539,39.0715,3.09949
0.0400647,0.213539,39.0543,3.18056
0.0385987,0.213539,39.0589,3.27292
0.0371326,0.213539,39.0638,3.38243
0.0356666,0.213539,39.0635,3.48933
0.0342006,0.213539,39.0499,3.58637
0.0327346,0.213539,39.0192,3.66696
0.0312685,0.213539,38.9775,3.74407
0.0298025,0.213539,38.949,3.82958
0.0283365,0.213539,38.9253,3.91135
0.0268704,0.213539,38.9023,3.98168
0.0254044,0.213539,38.8876,4.0427
0.0239384,0.213539,38.8753,4.11369
0.0224723,0.213539,38.846,4.18711
0.0210063,0.213539,38.7857,4.24421
0.0195403,0.213539,38.7348,4.30281
0.0180742,0.213539,38.7008,4.3679
0.0166082,0.213539,38.6705,4.44048
0.0151422,0.213539,38.6292,4.50321
0.0136761,0.213539,38.5742,4.54674
0.0122101,0.213539,38.5165,4.59688
0.0107441,0.213539,38.4513,4.6555
0.00927804,0.213539,38.3802,4.73044
0.00781201,0.213539,38.3257,4.81086
0.00634598,0.213539,38.2934,4.86379
0.00487994,0.213539,38.2672,4.8822
0.00341391,0.213539,38.2357,4.91032
0.00194788,0.213539,38.2039,4.96601
0.000481849,0.213539,38.155,5.03863
-0.000984183,0.213539,38.0865,5.11624
-0.00245022,0.213539,38.0172,5.19124
-0.00391625,0.213539,37.9468,5.2802
-0.00538228,0.213539,37.8848,5.36668
-0.00684831,0.213539,37.8642,5.43515
-0.00831434,0.213539,37.8556,5.50831
-0.00978038,0.213539,37.8228,5.57885
-0.0112464,0.213539,37.7699,5.65293
-0.0127124,0.213539,37.7054,5.71252
-0.0141785,0.213539,37.6268,5.75425
-0.0156445,0.213539,37.542,5.78394
-0.0171105,0.213539,37.4625,5.80304
-0.0185766,0.213539,37.4057,5.81808
-0.0200426,0.213539,37.3618,5.85612
-0.0215086,0.213539,37.3055,5.88692
-0.0229747,0.213539,37.2608,5.92254
-0.0244407,0.213539,37.2311,6.00229
-0.0259067,0.213539,37.198,6.12391
-0.0273728,0.213539,37.143,6.22464
-0.0288388,0.213539,37.0877,6.29754
-0.0303048,0.213539,37.0434,6.35459
-0.0317709,0.213539,36.9968,6.37601
-0.0332369,0.213539,36.9513,6.36841
-0.0347029,0.213539,36.9186,6.37864
-0.036169,0.213539,36.8945,6.42782
-0.037635,0.213539,36.8323,6.52018
-0.039101,0.213539,36.7513,6.61763
-0.040567,0.213539,36.6594,6.70623
-0.0420331,0.213539,36.5982,6.78042
-0.0434991,0.213539,36.5841,6.80167
-0.0449651,0.213539,36.5528,6.83022
-0.0464312,0.213539,36.5214,6.93168
-0.0478972,0.213539,36.4765,7.05604
-0.0493632,0.213539,36.3953,7.1523
-0.0508293,0.213539,36.2947,7.24419
-0.0522953,0.213539,36.2003,7.30167
-0.0537613,0.213539,36.1529,7.32632
-0.0552274,0.213539,36.1003,7.32629
-0.0566934,0.213539,36.021,7.32535
-0.0581594,0.213539,35.9519,7.39013
-0.0596255,0.213539,35.9505,7.46577
-0.0610915,0.213539,35.8764,7.55067
-0.0625575,0.213539,35.6612,7.69277
-0.0640236,0.213539,35.419,7.81558
-0.0654896,0.213539,35.1675,7.86903
-0.0669556,0.213539,34.8846,7.83584
-0.0684217,0.213539,34.5654,7.81068
-0.0698877,0.213539,34.3028,7.83864
-0.0713537,0.213539,34.0519,7.87196
-0.0728198,0.213539,33.7809,7.96804
-0.0742858,0.213539,33.5342,8.0105
-0.0757518,0.213539,33.2745,7.97159
-0.0772178,0.213539,32.9979,7.93912
-0.0786839,0.213539,32.6572,7.96872
-0.0801499,0.213539,32.273,8.02477
-0.0816159,0.213539,31.8967,8.0778
-0.083082,0.213539,31.7305,8.08186
0.553176,0.212073,33.3536,-0.529184
0.55171,0.212073,33.4192,-0.593837
0.550244,0.212073,33.4624,-0.61188
0.548778,0.212073,33.3672,-0.625239
0.547312,0.212073,33.3271,-0.649047
0.545846,0.212073,33.3292,-0.667011
0.54438,0.212073,33.3427,-0.674268
0.542914,0.212073,33.385,-0.698849
0.541448,0.212073,33.4698,-0.75773
0.539982,0.212073,33.4904,-0.789776
0.538516,0.212073,33.5317,-0.798308
0.53705,0.212073,33.5365,-0.787046
0.535584,0.212073,33.6192,-0.762021
0.534118,0.212073,33.6556,-0.77438
0.532651,0.212073,33.6294,-0.773898
0.531185,0.212073,33.6256,-0.745152
0.529719,0.212073,33.6303,-0.666287
0.528253,0.212073,33.6224,-0.646812
0.526787,0.212073,33.6288,-0.717208
0.525321,0.212073,33.6076,-0.770941
0.523855,0.212073,33.5459,-0.749978
0.522389,0.212073,33.4946,-0.713977
0.520923,0.212073,33.4565,-0.682001
0.519457,0.212073,33.4456,-0.648945
0.517991,0.212073,33.4441,-0.610302
0.516525,0.212073,33.4914,-0.62525
0.515059,0.212073,33.5407,-0.644876
0.513593,0.212073,33.5154,-0.664683
0.512127,0.212073,33.4874,-0.658953
0.510661,0.212073,33.5217,-0.648856
0.509195,0.212073,33.5456,-0.620126
0.507729,0.212073,33.5606,-0.598837
0.506263,0.212073,33.5756,-0.608876
0.504797,0.212073,33.6196,-0.664618
0.503331,0.212073,33.6617,-0.70339
0.501865,0.212073,33.6909,-0.677965
0.500399,0.212073,33.7043,-0.616149
0.498933,0.212073,33.6686,-0.578934
0.497467,0.212073,33.6304,-0.582146
0.496001,0.212073,33.6461,-0.592178
0.494535,0.212073,33.6394,-0.598699
0.493069,0.212073,33.6047,-0.596247
0.491603,0.212073,33.5829,-0.631038
0.490137,0.212073,33.576,-0.653521
0.488671,0.212073,33.5606,-0.657741
0.487204,0.212073,33.5496,-0.652261
0.485738,0.212073,33.5361,-0.653619
0.484272,0.212073,33.5141,-0.670552
0.482806,0.212073,33.472,-0.676035
0.48134,0.212073,33.468,-0.672211
