# created from X495mm_Mean.dat file and invalid data removed,,,,
# coordinates converted to meters,,,,
# coordinate system updated to match global coordinate system,,,,
# all data is taken on the X = 495 mm plane,,,,
# link to original paper: https://doi.org/10.1016/j.jweia.2022.105049,,,,
# 2,3,,,
# Location across the tread, Location from wheel centre of rotation, Streamwise velocity, Cross-tread velocity, Vertical velocity
# m, m, m/s, m/s, m/s
# y, z, Vx, Vy, Vz
-0.12553,-0.1711,0,0,0
-0.12713,-0.1711,0,0,0
-0.12874,-0.1711,0,0,0
-0.13035,-0.1711,0,0,0
-0.13195,-0.1711,0,0,0
-0.13355,-0.1711,0,0,0
-0.13515,-0.1711,0,0,0
-0.13676,-0.1711,0,0,0
-0.13836,-0.1711,0,0,0
-0.13997,-0.1711,0,0,0
-0.14157,-0.1711,0,0,0
-0.14318,-0.1711,0,0,0
-0.14479,-0.1711,0,0,0
-0.14639,-0.1711,0,0,0
-0.148,-0.1711,0,0,0
-0.1496,-0.1711,0,0,0
-0.15121,-0.1711,0,0,0
-0.15281,-0.1711,0,0,0
-0.15442,-0.1711,0,0,0
-0.15603,-0.1711,0,0,0
-0.15763,-0.1711,0,0,0
-0.15924,-0.1711,0,0,0
-0.16084,-0.1711,0,0,0
-0.16245,-0.1711,0,0,0
-0.16405,-0.1711,0,0,0
-0.16565,-0.1711,0,0,0
-0.16725,-0.1711,0,0,0
-0.16886,-0.1711,0,0,0
-0.17047,-0.1711,0,0,0
-0.17207,-0.1711,0,0,0
-0.17368,-0.1711,0,0,0
-0.17528,-0.1711,0,0,0
-0.17689,-0.1711,0,0,0
-0.17849,-0.1711,0,0,0
-0.1801,-0.1711,0,0,0
-0.1817,-0.1711,0,0,0
-0.18331,-0.1711,0,0,0
-0.18492,-0.1711,0,0,0
-0.18652,-0.1711,0,0,0
-0.18813,-0.1711,0,0,0
-0.18973,-0.1711,0,0,0
-0.19134,-0.1711,0,0,0
-0.19294,-0.1711,0,0,0
-0.19455,-0.1711,0,0,0
-0.19615,-0.1711,0,0,0
-0.19775,-0.1711,0,0,0
-0.19936,-0.1711,0,0,0
-0.20096,-0.1711,0,0,0
-0.20257,-0.1711,0,0,0
-0.20417,-0.1711,0,0,0
-0.20578,-0.1711,0,0,0
-0.20738,-0.1711,0,0,0
-0.20899,-0.1711,0,0,0
-0.2106,-0.1711,0,0,0
-0.2122,-0.1711,0,0,0
-0.21381,-0.1711,0,0,0
-0.21541,-0.1711,0,0,0
-0.21702,-0.1711,0,0,0
-0.21862,-0.1711,0,0,0
-0.22023,-0.1711,0,0,0
-0.22183,-0.1711,0,0,0
-0.22344,-0.1711,0,0,0
-0.22505,-0.1711,0,0,0
-0.22665,-0.1711,0,0,0
-0.22825,-0.1711,0,0,0
-0.22985,-0.1711,0,0,0
-0.23146,-0.1711,0,0,0
-0.23306,-0.1711,0,0,0
-0.23467,-0.1711,0,0,0
-0.23628,-0.1711,0,0,0
-0.23788,-0.1711,0,0,0
-0.23949,-0.1711,0,0,0
0.0083547,-0.16905,0,0,0
