"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
1153.2,-1466.5,29.458,-2.0724,-2.8847,0.0081597,0.00016735,48.977,3.32,-0.39054,4.3356,-7.67,0,0.33,0.29824,0.087186
1022.3,-1315,29.547,-2.0798,-2.6949,0.007673,0.00018141,42.58,2.5939,-0.60919,3.8449,-7.3348,0,0.33,0.30438,0.087126
1111.8,-1416.5,29.488,-2.1763,-2.6892,0.0081274,0.00016826,48.615,3.8725,-1.7789,2.8407,-7.7631,0,0.33,0.30435,0.084078
1204.4,-1523.7,29.431,-2.2804,-2.6782,0.0088048,0.0001574,56.249,5.1906,-3.0367,1.1456,-8.3575,0,0.33,0.30433,0.080904
1185.2,-1486.3,29.452,-2.4697,-2.4455,0.0099973,0.00015281,65.67,6.6383,-3.7962,-3.2789,-7.4132,0,0.33,0.31048,0.074683
1388.7,-1741.1,29.335,-2.5063,-2.6382,0.011935,0.00015001,79.449,7.8912,-4.8039,-2.4634,-9.5724,0,0.33,0.30436,0.074694
1113.5,-1403.5,29.489,-2.3652,-2.4725,0.0087699,0.00016001,55.182,5.4026,-3.3978,-2.0836,-7.2004,0,0.33,0.31045,0.077753
1298.5,-1632.9,29.38,-2.391,-2.6611,0.0099309,0.00015051,66.192,6.535,-4.2138,-0.81163,-8.9687,0,0.33,0.30434,0.077772
928.02,-1178.5,29.586,-2.3232,-2.2954,0.0079156,0.00017729,45.102,4.1823,-2.6975,-2.3795,-5.4089,0,0.33,0.31656,0.077795
868.01,-1114.3,29.622,-2.2312,-2.3183,0.0074134,0.00019374,38.679,3.0539,-1.6656,-0.99157,-5.4409,0,0.33,0.31656,0.080894
1039.2,-1320.3,29.531,-2.2631,-2.4937,0.008029,0.00017181,47.113,4.1686,-2.3848,-0.27335,-6.9028,0,0.33,0.31044,0.080883
894.99,-1156,29.631,-2.0764,-2.5193,0.0072049,0.00020277,35.84,1.761,0.0071901,2.939,-6.0723,0,0.33,0.31048,0.087128
963.95,-1234,29.579,-2.1663,-2.5092,0.0075462,0.00018642,40.826,2.95,-1.0818,1.5627,-6.511,0,0.33,0.31045,0.084068
807.88,-1047.6,29.663,-2.1437,-2.3358,0.0070614,0.00021258,33.584,1.9348,-0.2398,0.62508,-5.3358,0,0.33,0.31656,0.084014
461.16,-652.2,29.957,-1.7681,-2.2046,0.0060161,0.00011907,14.957,-4.0706,-1.4821,1.6791,-4.7172,0,0.33,0.32269,0.099745
358.08,-521.23,30.019,-1.7662,-2.0971,0.0058924,9.1756e-05,12.031,-4.7429,-4.2089,2.9005,-3.5059,0,0.33,0.32887,0.099615
482.38,-677.54,29.916,-1.8374,-2.2074,0.0061038,0.00014467,16.792,-3.1134,-0.35047,2.2558,-4.4895,0,0.33,0.32272,0.096576
379.32,-542.98,29.978,-1.8302,-2.0941,0.0059532,0.00010898,13.433,-3.8614,-2.6544,3.2917,-3.2607,0,0.33,0.32888,0.09651
653.45,-862.84,29.854,-1.8301,-2.3569,0.0062969,0.00018806,20.666,-2.3931,1.8731,2.1318,-4.2715,0,0.33,0.31653,0.096606
674.19,-894.46,29.806,-1.9071,-2.3587,0.0064373,0.00022006,23.238,-1.3289,1.9609,2.5958,-4.56,0,0.33,0.31657,0.09336
509.3,-708.31,29.872,-1.9055,-2.207,0.0062056,0.00017586,18.836,-2.1407,0.42684,2.7062,-4.3488,0,0.33,0.32271,0.093404
403.43,-568.91,29.935,-1.8913,-2.0881,0.0060236,0.00013014,14.992,-2.9734,-1.3988,3.421,-3.1365,0,0.33,0.32886,0.093451
461.57,-577.26,29.989,-1.8831,-1.8402,0.0058177,7.1893e-05,10.494,-3.9071,5.8764,2.551,-0.19908,0,0.33,0.34104,0.090234
425.36,-565.62,29.945,-1.9233,-1.969,0.0059387,0.00010631,13.199,-2.9957,1.247,2.984,-1.4781,0,0.33,0.33495,0.090317
445.86,-554,30.025,-1.8321,-1.8563,0.0057776,6.2533e-05,9.4544,-4.6513,6.2639,2.6323,-0.12777,0,0.33,0.34105,0.09329
401.16,-533.95,29.985,-1.8683,-1.9828,0.00588,9.0208e-05,11.828,-3.8088,0.98321,3.2528,-1.3931,0,0.33,0.33497,0.09334
458.11,-605.41,29.906,-1.9802,-1.9526,0.0060134,0.00012736,14.835,-2.1739,0.87567,2.3587,-1.4481,0,0.33,0.33493,0.087288
476.33,-651.12,29.85,-2.0155,-2.0669,0.0062157,0.00018948,18.899,-1.1732,-1.3563,2.3932,-2.8945,0,0.33,0.32881,0.08727
435.81,-605.97,29.892,-1.9521,-2.0791,0.0061084,0.00015602,16.777,-2.0807,-0.98768,3.1643,-3.0472,0,0.33,0.32883,0.090379
707.43,-935.47,29.757,-1.9842,-2.3559,0.0066026,0.00023799,26.145,-0.25158,1.7066,2.6445,-4.8421,0,0.33,0.31658,0.090197
