"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
39.911,-227,32.475,0.98487,-0.43419,0.10389,0.00053309,189.16,-86.446,7.7141,23.79,7.1919,0,0.33,0.054391,-0.20016
298.99,-258.12,32.463,0.90378,-0.44293,0.14877,0.000633,227.86,-86.866,-1.4494,34.837,11.305,0,0.33,0.051367,-0.20013
-132.1,118.01,32.446,0.9927,-0.45657,0.19492,0.00072627,259.27,-87.198,0.89366,45.781,13.33,0,0.33,0.054391,-0.19861
234.93,234.06,32.413,0.91486,-0.47031,0.28096,0.00085807,316.66,-87.642,-3.0681,63.91,19.376,0,0.33,0.051367,-0.19859
419.29,-455.81,32.476,0.88951,-0.41459,0.086478,0.00047871,174.4,-86.119,0.026713,18.743,6.6849,0,0.33,0.051366,-0.20168
331.89,-434.2,32.472,0.95975,-0.41092,0.056617,0.00038203,142.71,-85.548,7.5804,11.006,3.7752,0,0.33,0.05439,-0.20171
225.26,-267.93,32.305,1.0097,0.0052564,0.0086736,0.00017714,42.219,-73.344,2.133,3.586,2.6894,0,0.33,0.072542,-0.22353
231.23,-289.85,32.361,1.1246,-0.022773,0.0095376,0.00019401,49.408,-76.183,2.0644,5.5854,3.8989,0,0.33,0.072546,-0.21733
250.42,-292.18,32.288,1.106,0.082482,0.0084704,0.00018694,37.554,-72.127,3.5438,2.036,1.6627,0,0.33,0.084671,-0.22362
271.29,-333.05,32.331,1.2015,0.087506,0.0089297,0.00019817,41.533,-74.152,4.0158,3.6181,1.8558,0,0.33,0.08467,-0.21742
259.32,-294.42,32.333,0.89325,-0.11006,0.0092533,0.00016747,50.771,-75.512,-5.3504,6.3886,3.2192,0,0.33,0.060425,-0.22343
314.33,-360.75,32.361,0.9365,-0.16721,0.010377,0.00017542,59.268,-77.964,-5.7847,7.0316,3.8329,0,0.33,0.060432,-0.21724
257.62,-321.48,32.12,1.668,1.1272,0.0068848,0.00013763,20.18,-66.916,3.898,9.7275,4.8304,0,0.33,0.13935,-0.19911
538.03,-669.44,32.104,1.6301,1.1608,0.0067639,0.00010079,19.095,-66.04,5.436,9.0746,3.4199,0,0.33,0.14244,-0.199
303.62,-361.59,32.123,1.6381,1.1079,0.0068425,0.0001236,19.816,-66.541,12.034,7.2959,4.5987,0,0.33,0.13935,-0.20065
592.71,-735.2,32.108,1.5932,1.1279,0.0067263,8.9181e-05,18.784,-65.702,8.878,6.8555,3.1414,0,0.33,0.14243,-0.20065
613.56,-693.72,32.086,1.5091,1.1745,0.006598,8.2916e-05,17.431,-64.336,-4.0613,5.8929,1.9222,0,0.33,0.14551,-0.20221
603.85,-656.21,32.108,1.56,1.0965,0.0067003,8.8111e-05,18.49,-65.39,6.8758,5.9008,3.0046,0,0.33,0.14241,-0.20227
711.22,-891.18,32.086,1.5415,1.1973,0.0066245,7.57e-05,17.841,-64.766,-2.5726,6.4744,1.7898,0,0.33,0.1455,-0.20066
392.83,-406.11,32.123,1.597,1.0807,0.0068116,0.00011914,19.48,-66.11,9.7844,6.2534,4.2161,0,0.33,0.13935,-0.2022
235.61,-275.2,32.126,1.2342,0.66148,0.0069535,0.00012233,20.292,-64.506,3.816,1.2825,2.6973,0,0.33,0.12119,-0.22404
276.14,-328.39,32.182,1.2222,0.5256,0.007503,0.00014821,26.309,-67.197,-0.81786,3.3152,2.8697,0,0.33,0.10902,-0.22386
225.98,-280.85,32.171,1.3789,0.6956,0.0071914,0.00014634,22.848,-66.533,4.1643,4.7061,3.9961,0,0.33,0.12119,-0.21784
303.41,-369.11,32.208,1.3176,0.51764,0.0078043,0.00016711,29.234,-69.068,-0.13384,6.0911,3.157,0,0.33,0.10901,-0.21761
265.41,-294.18,32.095,1.252,0.77975,0.0065697,9.6528e-05,16.006,-62.516,3.0974,0.018605,1.9417,0,0.33,0.13333,-0.22414
273.98,-330.53,32.128,1.3454,0.83263,0.0066971,0.00010608,17.573,-63.862,2.7886,2.5975,2.8275,0,0.33,0.13332,-0.21795
257.32,-305.65,32.039,1.5212,1.3164,0.0064587,0.00010316,15.845,-63.139,12.815,7.2348,1.2242,0,0.33,0.15158,-0.20073
455.12,-541.08,32.063,1.5256,1.2821,0.0065361,9.0848e-05,16.842,-63.891,3.1729,7.0405,1.3241,0,0.33,0.14854,-0.2007
297.79,-339.48,32.035,1.5549,1.3307,0.0064878,0.0001042,16.179,-63.448,9.603,8.6982,1.1056,0,0.33,0.15158,-0.19917
482.06,-537.96,32.06,1.5631,1.2936,0.0065672,9.4739e-05,17.162,-64.242,5.5934,8.6311,1.3625,0,0.33,0.14853,-0.19911
467.16,-524.2,32.063,1.4944,1.2736,0.0065118,8.9129e-05,16.506,-63.534,0.81914,6.3579,1.4393,0,0.33,0.14855,-0.20225
319.5,-334.05,32.041,1.484,1.2967,0.0064318,0.00010025,15.454,-62.738,8.1666,6.4562,1.3256,0,0.33,0.15158,-0.20227
257.67,-285.53,31.83,1.0087,1.1659,0.0058956,5.5962e-05,7.3577,-54.609,6.3266,-3.1237,-0.41998,0,0.33,0.16989,-0.224
269.23,-296.3,31.889,1.1259,1.2829,0.0059234,5.627e-05,7.9522,-55.733,7.4694,-1.5758,-0.19465,0,0.33,0.16989,-0.21782
321.72,-344.06,31.754,0.89158,1.2092,0.0057928,4.7566e-05,5.9698,-52.492,3.2247,-3.8787,-0.49706,0,0.33,0.1821,-0.2244
343.42,-394.64,31.796,0.96165,1.3152,0.0058117,4.5795e-05,6.3848,-53.139,3.5744,-2.4082,-0.4733,0,0.33,0.1821,-0.21823
