"U:0","U:1","U:2","k","nut","omega","p","yPlus","Points:0","Points:1","Points:2"
24.756,1.7667,-1.0763,1.6009,0.0012706,423.49,-43.223,0,0.33,0.024182,-0.19809
14.497,2.4403,-0.45942,4.6489,0.0021388,826.94,-47.215,0,0.33,0.024176,-0.17335
28.814,1.8532,-0.26099,0.97793,0.0013724,297.67,-45.838,0,0.33,0.048417,-0.19822
22.134,3.1019,0.67772,4.5759,0.0034675,813.12,-53.277,0,0.33,0.048408,-0.17346
10.463,1.8441,-1.1382,4.2147,0.0014629,737.98,-43.558,0,0.33,0.002081,-0.17324
9.1963,1.7039,-1.3602,4.3925,0.0014275,748.84,-44.193,0,0.33,0,-0.17114
-0.42704,0.79563,-3.0679,6.7645,0.0017342,957.64,-54.799,0,0.33,0,-0.14859
3.4276,2.2605,-0.79158,7.9493,0.0036734,1068,-60.036,0,0.33,0.024137,-0.14864
11.648,3.7061,2.1636,9.7964,0.0067449,1132.4,-67.619,0,0.33,0.048383,-0.1487
30.783,0.88069,2.4663,0.008623,0.00019239,17.733,-30.643,0,0.33,0.19417,-0.17388
30.572,0.90104,3.0594,0.022963,0.00041346,42.022,-29.363,0,0.33,0.19418,-0.14904
30.681,0.52135,2.4769,0.0063163,9.9942e-05,11.196,-25.717,0,0.33,0.21858,-0.17402
30.447,0.45371,3.0507,0.0091627,0.00020985,28.167,-23.103,0,0.33,0.21858,-0.14906
30.797,0.51993,2.0283,0.005827,6.4505e-05,5.6191,-26.705,0,0.33,0.21857,-0.19884
30.737,0.25337,1.8736,0.0056479,6.3795e-05,3.2994,-23.783,0,0.33,0.24292,-0.1989
30.586,0.16651,2.3873,0.0058574,6.459e-05,7.528,-21.613,0,0.33,0.24294,-0.17404
30.354,-0.014353,2.9146,0.0070507,0.00016749,20.435,-18.019,0,0.33,0.24297,-0.14901
28.737,-2.5975,3.2111,0.22451,0.00063339,312.02,7.7053,0,0.33,0.29175,-0.074459
