"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
31.041,-49.156,30.619,-0.24137,0.91925,0.0054819,0.00011628,0.5128,-17.086,-1.9598,-4.6171,0.49819,0,0.495,0.30977,-0.29867
19.64,-26.773,30.613,-0.24688,0.8653,0.0054799,0.00016633,0.47154,-16.881,1.1659,0.82799,0.68276,0,0.495,0.31584,-0.30486
29.796,-45.258,30.615,-0.26939,0.89287,0.0054815,0.00012101,0.50554,-16.845,-1.7893,-4.1202,0.7417,0,0.495,0.31584,-0.29868
99.125,-108.04,30.656,-0.34796,0.72294,0.0054807,8.308e-05,0.50747,-16.035,2.9553,-2.6126,4.3159,0,0.495,0.34026,-0.29847
34.438,-46.079,30.651,-0.30035,0.71766,0.0054795,0.00012414,0.4691,-16.069,1.9239,-0.036149,3.806,0,0.495,0.34024,-0.30473
89.009,-97.821,30.629,-0.34675,0.81492,0.0054819,8.2493e-05,0.52858,-16.263,3.8038,-5.7417,3.8072,0,0.495,0.33416,-0.29852
32.229,-44.846,30.613,-0.28851,0.81752,0.0054799,0.00012598,0.47702,-16.478,1.2409,0.23393,2.4537,0,0.495,0.32801,-0.30484
39.312,-56.488,30.617,-0.31388,0.84714,0.0054815,0.00010927,0.51007,-16.449,1.1058,-4.4283,2.253,0,0.495,0.32801,-0.29866
23.648,-40.301,30.616,-0.29905,0.88009,0.0054818,0.00012173,0.51042,-16.626,-0.65493,-5.0861,1.0851,0,0.495,0.32191,-0.29869
1.4347,13.517,30.641,-0.25335,0.63936,0.005476,0.00014314,0.43426,-14.748,-9.9077,-2.5023,-7.8006,0,0.495,0.3889,-0.29848
11.003,-10.479,30.636,-0.2388,0.62252,0.0054751,0.00018657,0.41507,-14.771,-1.0371,-0.38329,-5.201,0,0.495,0.38888,-0.30471
-5.9894,6.3726,30.711,-0.24999,0.61834,0.0054795,0.00013892,0.46442,-14.912,-11.231,0.30406,-4.534,0,0.495,0.38276,-0.29857
