"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
16.07,-20.011,30.166,-0.91903,-0.096374,0.0055395,0.00019333,1.4025,-5.6553,0.30937,-0.59839,0.47232,0,0.495,0.43775,0.024749
16.708,-20.472,30.171,-0.92224,-0.072924,0.0055417,0.00018884,1.4381,-5.6022,-0.49127,-0.061106,0.28019,0,0.495,0.43775,0.018561
21.342,-26.404,30.149,-0.97986,-0.10627,0.0055662,0.00016696,1.8708,-5.1062,1.2238,-0.13974,-0.053067,0,0.495,0.42559,0.024749
18.702,-21.261,30.164,-0.92761,-0.047045,0.005543,0.00018015,1.4611,-5.5638,0.22973,1.6483,0.29202,0,0.495,0.43775,0.012375
28.056,-33.249,30.122,-1.0417,-0.1256,0.0056062,0.00015262,2.5905,-4.454,1.4306,0.31551,-0.41092,0,0.495,0.41345,0.024749
28.151,-32.28,30.1,-1.0374,-0.031262,0.0056218,0.00015648,2.8383,-4.301,1.3754,1.8097,-0.61394,0,0.495,0.41345,0.0061878
20.219,-23.796,30.129,-0.97836,-0.025948,0.0055745,0.00017305,1.9971,-4.9752,1.4997,1.543,-0.23922,0,0.495,0.42559,0.0061878
13.452,-17.248,30.144,-0.91676,0.020051,0.0055437,0.00020883,1.4524,-5.5365,0.46999,0.74492,-0.27351,0,0.495,0.43776,0
19.359,-24.75,30.123,-0.97191,0.012034,0.0055747,0.00017437,1.9916,-4.9684,0.38804,0.98551,0.40765,0,0.495,0.4256,0
16.232,-18.662,30.149,-0.92249,-0.021765,0.0055437,0.0001953,1.4612,-5.5418,1.0908,1.5142,0.34348,0,0.495,0.43775,0.0061879
27.012,-32.888,30.091,-1.0313,0.0041864,0.0056231,0.00015689,2.8528,-4.2932,0.9142,1.421,0.79437,0,0.495,0.41345,0
15.216,-19.562,30.169,-0.90267,-0.096359,0.0055352,0.00019274,1.3327,-5.8227,0.46156,-0.67564,-0.11682,0,0.495,0.44184,0.024749
16.788,-21.043,30.175,-0.90478,-0.073293,0.0055373,0.00018536,1.3678,-5.7719,-0.19933,-0.12345,-0.24965,0,0.495,0.44184,0.018561
19.162,-22.458,30.167,-0.90901,-0.046912,0.0055383,0.00017543,1.3861,-5.7346,0.1875,1.6545,-0.24492,0,0.495,0.44184,0.012374
12.862,-17.328,30.148,-0.90203,0.021049,0.0055389,0.00020637,1.3757,-5.7092,0.35789,0.73789,0.29697,0,0.495,0.44184,0
16.082,-19.333,30.152,-0.90605,-0.021407,0.0055389,0.00019164,1.384,-5.7142,0.76759,1.5358,-0.23184,0,0.495,0.44184,0.0061881
23.033,-28.305,30.153,-0.98058,-0.13487,0.0055637,0.00016255,1.8494,-5.1822,0.28081,0.5519,0.18573,0,0.495,0.42559,0.030937
29.645,-34.878,30.13,-1.0417,-0.15687,0.0056015,0.00014867,2.5336,-4.5428,0.1723,0.77552,-0.20752,0,0.495,0.41345,0.030937
23.24,-27.963,30.161,-0.96534,-0.16111,0.0055611,0.00016269,1.8049,-5.2744,0.10649,1.0322,0.12766,0,0.495,0.4256,0.037134
31.018,-35.205,30.139,-1.0255,-0.18877,0.0055966,0.00014636,2.455,-4.65,0.41631,1.2685,-0.20878,0,0.495,0.41346,0.037133
17.812,-21.665,30.168,-0.92101,-0.12169,0.0055377,0.00018464,1.383,-5.7199,-0.24477,0.43947,0.63323,0,0.495,0.43775,0.030937
19.124,-22.363,30.176,-0.90743,-0.14567,0.0055361,0.00017863,1.3578,-5.7982,-1.1985,0.76693,0.59081,0,0.495,0.43776,0.037138
23.14,-23.653,30.173,-0.95975,-0.18844,0.0055558,0.00015488,1.7084,-5.3834,3.6522,2.244,0.42927,0,0.495,0.42563,0.043363
31.608,-32.209,30.154,-1.0242,-0.22,0.0055877,0.00013941,2.2965,-4.7761,3.9476,2.9077,0.050348,0,0.495,0.41349,0.043357
17.707,-15.998,30.199,-0.92484,-0.19827,0.0055285,0.00017182,1.2308,-6.0002,5.3233,2.3936,1.2884,0,0.495,0.43785,0.049623
19.314,-19.821,30.183,-0.8963,-0.17192,0.0055333,0.00017072,1.3094,-5.8936,2.1716,1.3388,0.87306,0,0.495,0.43779,0.043373
22.456,-18.762,30.197,-0.98587,-0.21946,0.0055487,0.0001575,1.5891,-5.5067,5.8054,3.2542,0.94618,0,0.495,0.42571,0.049617
31.17,-27.939,30.184,-1.0478,-0.25555,0.0055771,0.00014133,2.1141,-4.9189,5.0914,3.8779,0.44666,0,0.495,0.41355,0.049608
17.37,-21.777,30.17,-0.90392,-0.12053,0.0055335,0.00018293,1.3126,-5.884,-0.22427,0.40405,0.020269,0,0.495,0.44184,0.030938
19.82,-23.738,30.178,-0.88941,-0.14452,0.005532,0.00017377,1.2913,-5.9583,-1.0788,0.6698,0.0096461,0,0.495,0.44184,0.037144
16.297,-14.592,30.199,-0.90864,-0.19692,0.0055252,0.0001713,1.1765,-6.1495,5.7289,2.2385,0.54652,0,0.495,0.44184,0.04963
19.111,-19.876,30.184,-0.8784,-0.17133,0.0055297,0.00016807,1.2497,-6.0493,2.5336,1.1536,0.22593,0,0.495,0.44184,0.043384
1093.2,-2873.6,8.1258,-7.2657,-2.1961,23.606,0.026621,806.25,-28.843,-225.1,-98.155,64.319,0,0.495,0.036067,-0.018561
1860,-10505,7.7089,-6.3934,-2.7013,24.072,0.024054,825.24,-21.539,-207.38,-85.65,68.5,0,0.495,0.030006,-0.018561
1728.6,-7534.2,8.4238,-7.705,-1.8876,23.195,0.024744,815.55,-26.797,-205.08,-89.512,68.656,0,0.495,0.036067,-0.015467
1693.1,-15752,7.9738,-6.7684,-2.3141,23.805,0.022359,835.78,-19.222,-187.39,-78.219,74.063,0,0.495,0.030007,-0.015467
1339.5,-32426,7.6867,-5.9505,-2.2426,24.492,0.01904,892.43,-8.8129,-140.94,-56.471,87.075,0,0.495,0.023956,-0.012374
1379.3,-21068,8.2102,-7.1159,-1.8953,23.493,0.020963,844.07,-17.198,-162.26,-67.698,78.734,0,0.495,0.030008,-0.012374
1518.2,-26730,7.4846,-5.6671,-2.7443,24.642,0.02019,882.6,-11.047,-163.31,-65.11,81.29,0,0.495,0.023951,-0.015467
1809.7,-20972,7.2587,-5.3613,-3.2118,24.749,0.021582,870.91,-13.629,-181.78,-71.206,74.621,0,0.495,0.023948,-0.018561
1559.8,-12407,8.6894,-8.1127,-1.5508,22.732,0.023217,822.16,-25,-178.46,-77.295,72.044,0,0.495,0.036067,-0.012374
-811.1,2202.8,8.5443,-7.9909,-1.7223,23.388,0.028478,801.47,-35.139,-235.4,-108.49,65.71,0,0.495,0.042142,-0.018561
-4479.4,5504.3,8.1914,-7.4844,-1.9336,23.845,0.029905,790.43,-37.196,-247.9,-116.06,61.741,0,0.495,0.042142,-0.021655
-1145.2,1216.7,7.8051,-6.8116,-2.4755,23.937,0.02859,794.7,-31.12,-239.62,-104.43,59.706,0,0.495,0.036067,-0.021655
-10424,10158,8.1851,-7.4919,-1.5784,24.427,0.031311,780.27,-44.219,-258.47,-132.64,60.106,0,0.495,0.048203,-0.024748
-7861.5,8137.9,7.8193,-6.9804,-2.1226,24.195,0.031068,777.14,-39.397,-255.42,-121.06,57.149,0,0.495,0.042142,-0.024748
-7392.5,7875.7,8.5896,-8.0358,-1.4492,23.962,0.030191,793.8,-42.223,-252.22,-126.65,63.598,0,0.495,0.048203,-0.021655
-3834.7,5064.8,8.9712,-8.5851,-1.3007,23.373,0.02905,804.66,-40.332,-241.25,-117.74,66.638,0,0.495,0.048203,-0.018561
-4131.2,4570.1,7.4694,-6.3554,-2.727,24.179,0.030398,781.49,-33.56,-249.39,-108.2,54.652,0,0.495,0.036067,-0.024748
1236,-1733.8,8.8702,-8.4843,-1.4868,22.837,0.026977,809.72,-33.306,-216.41,-98.423,69.12,0,0.495,0.042142,-0.015467
1351,-2014.4,9.63,-9.6289,-0.94107,21.902,0.026701,816.19,-37.135,-197.73,-90.939,70.863,0,0.495,0.048203,-0.012374
-569.31,1701.9,9.3213,-9.1235,-1.1315,22.673,0.02788,812.22,-38.631,-223.68,-106.13,69.22,0,0.495,0.048203,-0.015467
1646.9,-6004.9,9.1593,-8.9443,-1.227,22.224,0.025622,814.82,-31.704,-189.61,-84.702,71.504,0,0.495,0.042142,-0.012374
