"U:0","U:1","U:2","k","nut","omega","p","yPlus","Points:0","Points:1","Points:2"
27.607,1.8664,-5.8475,6.9773,0.0064164,1077.8,-76.484,0,0.33,0.12121,0.099233
27.326,1.7886,-5.8477,7.6103,0.0067965,1110.9,-76.509,0,0.33,0.12121,0.097684
26.647,1.8487,-6.073,9.9269,0.0081735,1207.5,-79.244,0,0.33,0.11817,0.099218
26.326,1.7578,-6.0675,10.649,0.0085964,1232.5,-79.266,0,0.33,0.11817,0.097675
25.163,1.2227,-5.6986,12.026,0.0093983,1275.3,-74.796,0,0.33,0.12122,0.086779
23.911,1.1246,-5.8975,15.313,0.011382,1342.9,-77.461,0,0.33,0.11818,0.086778
25.481,1.3055,-5.733,11.432,0.0090497,1258.4,-75.228,0,0.33,0.12122,0.088327
24.259,1.2148,-5.9333,14.72,0.011019,1333,-77.915,0,0.33,0.11818,0.088334
14.177,0.6047,-8.3485,31.001,0.020378,1521.3,-99.823,0,0.33,0.096903,0.085226
15.547,0.65352,-7.9962,30.122,0.019909,1513,-95.829,0,0.33,0.099967,0.085179
23.066,0.61281,-5.3628,15.433,0.011392,1353.2,-70.242,0,0.33,0.12119,0.075964
21.672,0.47373,-5.5526,18.522,0.013414,1380,-72.728,0,0.33,0.11816,0.07596
23.566,1.0348,-5.8584,15.874,0.011729,1351.3,-76.946,0,0.33,0.11818,0.085226
24.848,1.1399,-5.6607,12.598,0.0097336,1290.5,-74.309,0,0.33,0.12122,0.085232
28.194,1.8084,-5.6596,5.0927,0.0051876,970.47,-73.804,0,0.33,0.12424,0.097678
28.427,1.8733,-5.6528,4.5964,0.0048722,931.69,-73.782,0,0.33,0.12424,0.099237
30.093,1.4755,-5.2984,0.27591,0.00061273,449.16,-55.952,0,0.33,0.14551,0.086822
30.029,1.513,-5.3102,0.39426,0.00081774,477.47,-57.912,0,0.33,0.14248,0.086803
30.147,1.5109,-5.2655,0.24091,0.00057311,418.7,-56.3,0,0.33,0.14552,0.088364
30.085,1.5468,-5.2827,0.36372,0.00079175,454.57,-58.266,0,0.33,0.14248,0.088346
26.347,1.3214,-5.5578,8.8536,0.0074365,1183.5,-72.196,0,0.33,0.12426,0.086784
26.625,1.3949,-5.5863,8.3149,0.0071251,1159.3,-72.604,0,0.33,0.12426,0.088335
24.462,0.76019,-5.2576,12.139,0.0092631,1307.1,-67.807,0,0.33,0.12425,0.075951
30.028,1.4372,-5.3323,0.33341,0.00067855,489.91,-55.562,0,0.33,0.14551,0.085279
29.967,1.4774,-5.3373,0.43122,0.0008505,502.87,-57.514,0,0.33,0.14247,0.085262
26.069,1.247,-5.5255,9.3814,0.007739,1205.8,-71.731,0,0.33,0.12427,0.08524
30.07,1.4214,-5.2936,0.31512,0.00063831,483.6,-54.138,0,0.33,0.14857,0.086833
30.141,1.4625,-5.2556,0.22325,0.00052434,422.65,-54.486,0,0.33,0.14857,0.088382
29.976,1.3757,-5.3336,0.48717,0.00081886,571.84,-53.762,0,0.33,0.14857,0.085288
1.647,-4.6964,7.8557,19.166,0.016273,1011.5,-99.831,0,0.33,0.027192,0.051048
0.75746,-5.0657,1.9404,17.618,0.018726,940.81,-137.04,0,0.33,0.045363,0.061925
1.0182,-5.1714,0.97728,17.829,0.018671,954.88,-137.81,0,0.33,0.04839,0.061928
0.94768,-5.2533,1.9749,17.766,0.018825,943.72,-134.67,0,0.33,0.045362,0.060374
1.2113,-5.3681,1.0363,17.998,0.018789,957.89,-135.52,0,0.33,0.048388,0.06038
0.55339,-3.8138,8.2789,18.942,0.015449,987.45,-118.99,0,0.33,0.0272,0.060345
0.39158,-3.6807,8.3396,18.906,0.015374,985.47,-121.88,0,0.33,0.0272,0.061896
2.3949,-0.44777,19.566,14.491,0.0029777,6753.6,-97.811,0,0.33,0.0030208,0.063422
2.668,-0.336,19.844,13.717,0.0016158,8781.3,-97.062,0,0.33,0.0014494,0.063421
-0.4982,-2.3972,10.028,19.318,0.014444,1024.3,-138.38,0,0.33,0.024184,0.074289
-0.39254,-2.5176,9.988,19.338,0.014415,1024.2,-136.26,0,0.33,0.024183,0.072736
-0.26661,-2.1355,11.434,20.03,0.013686,1086.9,-135.2,0,0.33,0.021159,0.074283
-0.16623,-2.2428,11.388,20.04,0.013652,1086.2,-133.04,0,0.33,0.021158,0.072729
0.37031,-3.2284,9.6657,19.45,0.014429,1026.6,-121.14,0,0.33,0.024177,0.06344
0.55028,-2.8849,11.022,20.049,0.013612,1085.1,-117.51,0,0.33,0.021152,0.063439
0.8318,-4.9716,0.91505,17.661,0.018562,951.47,-140.06,0,0.33,0.048393,0.063472
0.57425,-4.8756,1.9027,17.472,0.018634,937.62,-139.37,0,0.33,0.045364,0.063477
-0.564,-2.7705,8.666,18.656,0.01524,978.24,-139.4,0,0.33,0.027208,0.072736
-0.67377,-2.6368,8.6973,18.625,0.015261,977.73,-141.48,0,0.33,0.027208,0.074286
0.23599,-3.5494,8.397,18.871,0.015317,983.79,-124.68,0,0.33,0.027201,0.063447
1.5331,-5.4375,0.13,18.371,0.018814,976.38,-135.71,0,0.33,0.051417,0.060379
1.3379,-5.2317,0.044299,18.181,0.018677,973.42,-137.92,0,0.33,0.051422,0.061922
4.482,-4.6308,-4.5276,23.188,0.020071,1155.2,-124.8,0,0.33,0.069639,0.061906
4.6593,-4.8867,-4.2935,23.345,0.020278,1151.1,-123.18,0,0.33,0.069642,0.060349
11.097,-2.4297,-6.4295,29.678,0.022356,1327.6,-89.631,0,0.33,0.093902,0.061938
11.093,-2.1802,-6.6663,29.861,0.022318,1338,-90.718,0,0.33,0.093903,0.06349
4.2107,-2.4972,-6.7382,23.148,0.018941,1221.8,-130.91,0,0.33,0.072649,0.072803
4.1168,-2.2255,-6.9532,22.938,0.01872,1225,-132.15,0,0.33,0.072643,0.074343
5.0891,-2.2371,-7.2252,24.706,0.019461,1269.2,-126.06,0,0.33,0.075666,0.07281
5.0168,-1.9703,-7.4407,24.549,0.019246,1275.2,-127.24,0,0.33,0.075666,0.074347
5.7947,-3.8622,-5.7558,25.455,0.020749,1226.7,-118,0,0.33,0.075686,0.063493
5.0261,-4.1271,-5.3034,24.23,0.020288,1194.1,-122.35,0,0.33,0.072656,0.063483
1.1487,-5.0222,-0.044083,17.992,0.018548,969.95,-140.09,0,0.33,0.051426,0.063466
3.2936,-2.4739,-6.3451,21.427,0.018292,1171.1,-136.8,0,0.33,0.069622,0.074335
3.4044,-2.7485,-6.1353,21.674,0.018505,1171,-135.5,0,0.33,0.069625,0.072794
4.3038,-4.3687,-4.7653,23.013,0.019854,1158.9,-126.46,0,0.33,0.069623,0.063474
1.8185,-0.18277,20.064,14.124,0.0027423,6819.1,-131.3,0,0.33,0.0030212,0.085082
2.2783,-0.11961,20.384,13.455,0.0011851,9340.1,-130.79,0,0.33,0.001051,0.085077
-0.59734,-2.2751,10.063,19.3,0.014482,1024.5,-140.37,0,0.33,0.024183,0.075842
-0.36097,-2.0269,11.476,20.019,0.013728,1087.6,-137.22,0,0.33,0.021159,0.075833
-0.80021,-1.3384,11.615,19.936,0.014002,1094.3,-146.31,0,0.33,0.021158,0.08512
-1.0515,-1.4974,10.165,19.222,0.01472,1028.2,-149.35,0,0.33,0.024183,0.085126
-1.4612,-0.318,8.5142,18.697,0.015415,994.02,-154.81,0,0.33,0.027206,0.097513
-1.4576,-0.14236,8.4527,18.744,0.015389,997.81,-154.28,0,0.33,0.027205,0.099065
-0.9102,-1.4696,-0.33267,16.227,0.018069,885.34,-163.7,0,0.33,0.048397,0.086724
-1.1479,-1.5624,0.94944,16.316,0.01793,880.37,-163.8,0,0.33,0.045371,0.08672
-0.93802,-1.2072,-0.43151,16.275,0.017914,884.99,-164.25,0,0.33,0.048397,0.088272
-1.1809,-1.3124,0.86208,16.367,0.01773,880.1,-164.4,0,0.33,0.045371,0.088266
-1.2934,-1.477,8.766,18.515,0.015491,978.66,-153.23,0,0.33,0.027207,0.086678
-1.3386,-1.3194,8.7488,18.524,0.015504,979.79,-154,0,0.33,0.027207,0.088225
-0.77646,-2.5008,8.7242,18.597,0.015291,977.26,-143.44,0,0.33,0.027207,0.075843
