"Lambda2","Q","U:0","U:1","U:2","epsilon","k","nut","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
-1.4185e+06,-64521,2.1399,0.70212,5.5403,56.067,0.33746,1.4593e-05,41.575,-1644.8,16.449,-9947.3,0,0.495,0,-0.0061874
-4.065e+05,-816.04,2.0921,1.0232,4.6771,67.847,0.38022,1.6005e-05,44.5,-1344.7,-2.8203,-10130,0,0.495,0,-0.0046406
3.9595e+05,-4.6651e+05,-0.80668,7.2284,1.4276,18.31,0.011184,1.3246e-06,29.601,568.63,29.917,-278.45,0,0.495,0.0088551,-0.0015468
4.7236e+05,-6.2775e+05,-0.70969,7.6409,-1.1089,21.596,0.010896,1.1146e-06,32.281,342.64,25.315,256.9,0,0.495,0.0088523,0
3.5377e+05,-4.3813e+05,-1.6336,9.4426,-0.96197,15.591,0.0119,1.6943e-06,15.539,350.76,56.349,193.06,0,0.495,0.011883,0
2.9246e+05,-3.2125e+05,-1.6967,9.0037,1.1701,13.146,0.011952,1.8755e-06,12.985,608.41,58.287,-225.35,0,0.495,0.011886,-0.0015468
8603.3,1.5523e+05,-0.032988,0.94452,5.3621,3.5823,0.0070191,1.6554e-06,13.139,1113,184.64,-392.91,0,0.495,0.0088763,-0.0092812
833.82,64088,0.88632,0.70031,5.9211,4.0748,0.012901,2.799e-06,26.743,778.53,185.73,-465.17,0,0.495,0.005845,-0.0092812
21917,86410,-0.31043,2.2979,4.9759,3.8986,0.0072008,1.6585e-06,13.414,1085.5,111.79,-372.36,0,0.495,0.008872,-0.0077343
25611,4563,0.56951,1.6568,5.5615,5.8505,0.011622,2.2106e-06,26.682,774.61,153.54,-415.21,0,0.495,0.0058406,-0.0077343
-1.4013e+05,-1.2817e+05,1.6618,0.34995,6.3962,27.224,0.16294,8.6491e-06,36.644,-713.21,130.91,-5160.9,0,0.495,0.0028131,-0.0092812
-1.8067e+05,-1.9869e+05,1.95,-0.20256,6.4963,19.844,0.13327,7.6912e-06,38.82,-723.82,173.09,-5092.3,0,0.495,0.0028175,-0.010828
5721.2,85016,1.2492,-0.3353,6.084,3.4112,0.011305,2.9036e-06,28.508,793.32,241.64,-402.97,0,0.495,0.0058493,-0.010828
-2.8011e+05,-3.2206e+05,2.2752,-0.76534,6.3028,20.48,0.13733,8.1325e-06,42.979,-708.04,207.9,-5001.8,0,0.495,0.0028219,-0.012375
-5.7112e+05,-6.2407e+05,2.7681,-0.59218,6.3896,36.576,0.2551,1.2244e-05,47.246,-1928.7,114.98,-9443.1,0,0.495,0,-0.012375
-3.6332e+05,-4.4039e+05,2.5849,-0.25097,6.6087,35.565,0.25021,1.1502e-05,42.979,-2034.9,80.145,-9711.3,0,0.495,0,-0.010828
19266,28748,1.7017,-1.3496,5.957,3.4382,0.012642,2.9392e-06,32.296,730.71,317.98,-421.17,0,0.495,0.0058537,-0.012375
-2.9216e+05,-2.8326e+05,2.3928,0.074275,6.5126,48.591,0.30539,1.3716e-05,40.575,-1984.8,50.67,-9727.2,0,0.495,0,-0.0092812
544.9,1.7956e+05,0.3579,-0.54118,5.5641,3.5644,0.0068573,1.5636e-06,14.628,1141.5,296.76,-396.69,0,0.495,0.0088807,-0.010828
14774,1.3329e+05,0.93001,-2.0176,5.5064,3.5375,0.0066863,1.4679e-06,18.154,1093.9,439.6,-362.21,0,0.495,0.008885,-0.012375
-6.1828e+05,-94751,1.4363,0.86693,6.0592,35.264,0.18874,9.0738e-06,36.223,-670.17,98.377,-5229.7,0,0.495,0.0028088,-0.0077343
-1.2723e+06,-1.5588e+05,2.2767,0.37208,6.1904,61.657,0.35958,1.5632e-05,39.966,-1905,35.24,-9961.4,0,0.495,0,-0.0077343
1.2028e+05,-1.1179e+05,-2.4737,9.1514,1.5866,7.0343,0.011045,2.2503e-06,-9.9712,1052.1,41.988,-219.63,0,0.495,0.014921,-0.0030937
49089,-55376,-3.3094,10.204,1.2718,6.1959,0.011248,2.4922e-06,-28.352,1097.5,27.422,-183.96,0,0.495,0.017951,-0.0030937
-31615,-27643,-2.4641,7.5251,2.4315,5.1986,0.008999,1.8359e-06,-14.387,1274.7,-53.42,-280.64,0,0.495,0.014925,-0.0046406
-86890,22255,-3.3791,8.4627,1.9773,5.1077,0.0092369,1.9232e-06,-32.573,1353.9,-103.59,-249.61,0,0.495,0.017955,-0.0046406
8778.2,-12117,-4.0855,10.997,0.99167,5.7603,0.011235,2.6042e-06,-46.235,1144.8,17.514,-163.01,0,0.495,0.020981,-0.0030937
83891,-77358,-4.1494,12.453,0.62575,7.1035,0.01234,3.064e-06,-42.409,654.03,85.649,-146.52,0,0.495,0.020977,-0.0015468
1.3692e+05,-1.3326e+05,-3.3893,11.583,0.77854,8.375,0.012595,2.8049e-06,-24.262,642.79,82.967,-163.09,0,0.495,0.017947,-0.0015468
1.2528e+05,-1.4176e+05,-4.1249,12.881,-0.66026,7.8525,0.012136,3.111e-06,-40.078,315.98,79.441,98.964,0,0.495,0.020974,0
88174,-99065,-4.8407,13.464,-0.6008,6.5999,0.011684,3.4404e-06,-56.388,305.4,77.603,71.744,0,0.495,0.024004,0
57047,-46491,-4.86,13.063,0.51741,6.2266,0.012031,3.2721e-06,-58.626,661.4,83.509,-118.51,0,0.495,0.024007,-0.0015468
-2786.8,9949.6,-4.8129,11.534,0.7683,5.5351,0.011092,2.6281e-06,-62.104,1174.4,3.6371,-132.6,0,0.495,0.024011,-0.0030937
1.8257e+05,-2.0899e+05,-3.3564,12.021,-0.74751,9.5908,0.012575,2.77e-06,-21.844,334.17,79.833,118.91,0,0.495,0.017944,0
-1.0967e+05,58250,-4.2141,9.149,1.5795,5.2068,0.0092842,1.9269e-06,-50.114,1424.3,-139.37,-226.07,0,0.495,0.020985,-0.0046406
-1.0864e+05,74382,-4.991,9.6137,1.2214,5.3862,0.0092175,1.8688e-06,-65.698,1470.7,-176.68,-193.32,0,0.495,0.024014,-0.0046406
1.985e+05,-2.0566e+05,-2.5595,10.444,0.94248,10.297,0.012515,2.3882e-06,-5.5218,632.07,74.067,-201.57,0,0.495,0.014917,-0.0015468
2.515e+05,-2.9845e+05,-2.5149,10.898,-0.827,12.122,0.012581,2.2682e-06,-3.0006,341.38,70.078,160.65,0,0.495,0.014914,0
80683,1.0385e+05,1.6277,-7.0473,3.8054,3.7735,0.0063418,9.9969e-07,-7.5098,1252.1,1179.8,-301.85,0,0.495,0.014955,-0.015469
79817,1.7951e+05,0.93274,-8.0342,3.2721,4.2596,0.0064369,8.9421e-07,-25.683,1435.8,1425.7,-299.53,0,0.495,0.017984,-0.015469
1.485e+05,-30841,3.5064,-8.574,3.2197,3.0932,0.0062443,1.1205e-06,-2.5452,935.03,1173.3,-155.78,0,0.495,0.014959,-0.017016
1.2735e+05,49027,3.2428,-9.8448,2.7312,3.3468,0.0062979,1.0023e-06,-20.528,1094.8,1433.9,-149.69,0,0.495,0.017988,-0.017016
