"U:0","U:1","U:2","k","nut","omega","p","yPlus","Points:0","Points:1","Points:2"
13.408,-8.9736,-0.083296,21.472,0.023895,898.62,-17.697,0,0.495,0.066636,0.024748
14.749,-12.729,-0.13848,20.003,0.020401,980.49,-12.977,0,0.495,0.078763,0.0092805
15.074,-12.734,-0.24135,20.054,0.020174,994.03,-12.886,0,0.495,0.084832,0.0092805
14.966,-13.439,-0.065518,18.621,0.019089,975.39,-12.202,0,0.495,0.078763,0.006187
15.318,-13.491,-0.13536,18.492,0.018709,988.25,-12.18,0,0.495,0.084832,0.006187
14.556,-11.933,-0.23554,21.189,0.02164,979.23,-13.904,0,0.495,0.078763,0.012374
14.424,-12.657,-0.0084886,19.865,0.020556,966.37,-12.218,0,0.495,0.0727,0.0092805
14.869,-11.896,-0.36934,21.378,0.02153,993,-13.711,0,0.495,0.084832,0.012374
14.619,-13.316,0.021862,18.661,0.019395,962.07,-11.358,0,0.495,0.072699,0.006187
15.548,-14.071,-0.055578,17.114,0.017498,978.01,-11.668,0,0.495,0.084832,0.0030937
15.946,-14.114,-0.082945,16.686,0.01688,988.39,-11.009,0,0.495,0.090915,0.0030938
15.677,-13.491,-0.18909,18.253,0.018247,1000.2,-11.508,0,0.495,0.090915,0.0061871
16.504,-14.382,0.047188,15.377,0.015541,989.55,-9.6119,0,0.495,0.096987,0
16.068,-14.365,0.036663,16.028,0.016326,981.81,-10.746,0,0.495,0.090914,0
16.361,-14.112,-0.10373,16.128,0.016169,997.27,-9.8873,0,0.495,0.096986,0.0030939
16.049,-13.451,-0.22946,17.89,0.017699,1010.6,-10.387,0,0.495,0.096987,0.0061871
15.651,-14.302,0.022928,16.545,0.017015,972.48,-11.412,0,0.495,0.084833,0
15.401,-12.69,-0.31964,19.996,0.019867,1006.5,-12.174,0,0.495,0.090915,0.0092805
15.484,-11.702,-0.54394,21.41,0.021069,1016.3,-11.757,0,0.495,0.096986,0.012374
15.733,-12.613,-0.3777,19.811,0.019476,1017.2,-11.035,0,0.495,0.096986,0.0092805
15.178,-11.814,-0.47024,21.459,0.021341,1005.6,-12.935,0,0.495,0.090915,0.012374
15.163,-13.973,-0.020411,17.425,0.018026,966.64,-11.659,0,0.495,0.078763,0.0030937
14.859,-13.987,-0.016052,17.229,0.018117,951.06,-10.517,0,0.495,0.072699,0
14.787,-13.801,0.023208,17.639,0.018474,954.79,-10.775,0,0.495,0.072699,0.0030937
15.249,-14.182,0.005464,16.938,0.017608,962.05,-11.405,0,0.495,0.078763,0
14.322,-10.311,-0.48677,22.436,0.023342,961.22,-15.988,0,0.495,0.078763,0.018561
14.663,-10.203,-0.67675,22.779,0.023334,976.26,-15.499,0,0.495,0.084832,0.018561
14.412,-11.115,-0.35299,22.009,0.022638,972.3,-14.903,0,0.495,0.078763,0.015467
14.73,-11.04,-0.51569,22.293,0.0226,986.49,-14.57,0,0.495,0.084832,0.015467
14.99,-10.056,-0.81713,23.033,0.023259,990.36,-14.513,0,0.495,0.090915,0.018561
15.023,-9.234,-1.0082,23.183,0.023675,979.23,-15.291,0,0.495,0.090915,0.021654
14.659,-9.4092,-0.8503,22.887,0.023753,963.56,-16.416,0,0.495,0.084832,0.021654
15.514,-8.2503,-1.3254,23.23,0.023629,983.1,-14.569,0,0.495,0.096986,0.024748
15.365,-9.038,-1.1168,23.386,0.02354,993.46,-13.857,0,0.495,0.096986,0.021654
15.121,-8.4711,-1.2089,23.001,0.023795,966.62,-16.113,0,0.495,0.090915,0.024748
14.703,-8.6724,-1.0348,22.699,0.023914,949.18,-17.389,0,0.495,0.084832,0.024748
15.3,-9.8864,-0.91592,23.176,0.023114,1002.7,-13.184,0,0.495,0.096986,0.018561
14.279,-9.5468,-0.63439,22.517,0.02377,947.31,-17.089,0,0.495,0.078763,0.021654
14.27,-8.8366,-0.79411,22.337,0.023976,931.63,-18.248,0,0.495,0.078764,0.024748
15.038,-10.923,-0.63718,22.475,0.022488,999.53,-13.697,0,0.495,0.090915,0.015467
15.337,-10.782,-0.72442,22.533,0.022297,1010.7,-12.448,0,0.495,0.096986,0.015467
13.781,-12.23,0.33184,19.465,0.020718,939.54,-7.3342,0,0.495,0.060569,0.0092805
14.102,-12.498,0.14857,19.671,0.020654,952.4,-10.385,0,0.495,0.066636,0.0092805
13.94,-12.781,0.24782,18.605,0.019853,937.15,-6.2867,0,0.495,0.060569,0.0061871
14.278,-13.103,0.12645,18.642,0.019643,949,-9.4307,0,0.495,0.066636,0.006187
13.61,-12.333,0.38457,18.6,0.020042,928.05,-1.7395,0,0.495,0.054464,0.006187
13.714,-12.673,0.20255,18.036,0.019501,924.9,-1.0288,0,0.495,0.054464,0.0030935
14.063,-13.167,0.13513,17.902,0.019195,932.68,-5.6172,0,0.495,0.060569,0.0030937
13.754,-12.795,-0.10448,17.818,0.019299,923.3,-0.75543,0,0.495,0.054465,0
14.111,-13.31,-0.071185,17.627,0.018945,930.46,-5.348,0,0.495,0.060568,0
13.464,-11.836,0.53943,19.299,0.020767,929.34,-2.8823,0,0.495,0.054464,0.0092804
14.421,-13.538,0.075091,17.786,0.018858,943.15,-8.8044,0,0.495,0.066636,0.0030937
14.481,-13.702,-0.041597,17.446,0.018557,940.21,-8.5412,0,0.495,0.066636,0
11.299,-6.4006,3.5076,19.899,0.02362,842.54,-1.2135,0,0.495,0.036265,0.030935
11.118,-5.6912,4.5186,20.245,0.023136,867.34,6.8475,0,0.495,0.030201,0.030935
11.071,-5.9986,3.7226,19.812,0.023925,828.2,-4.8058,0,0.495,0.036265,0.034028
10.902,-5.3231,4.8064,20.157,0.023502,853.55,2.7358,0,0.495,0.030201,0.034028
10.604,-4.2177,6.2923,20.589,0.022482,891.54,6.413,0,0.495,0.024138,0.037122
10.678,-4.9857,5.0727,20.105,0.023781,841.31,-1.3434,0,0.495,0.030201,0.037122
10.807,-4.515,5.9579,20.68,0.022039,903.64,11.089,0,0.495,0.024139,0.034029
10.833,-5.6317,3.9206,19.777,0.024247,815.73,-8.3835,0,0.495,0.036265,0.037122
11.004,-4.8363,5.5951,20.793,0.021399,917.21,15.802,0,0.495,0.024141,0.030935
11.517,-6.8367,3.2735,20.013,0.023323,858.19,2.3601,0,0.495,0.036265,0.027841
11.771,-7.432,2.4248,19.939,0.023496,848.69,-4.7857,0,0.495,0.042334,0.027841
11.552,-6.9649,2.5808,19.808,0.023801,832.31,-7.9036,0,0.495,0.042334,0.030935
12.081,-7.8715,1.6567,20.093,0.023675,848.75,-10.588,0,0.495,0.048397,0.027841
11.871,-7.3794,1.7373,19.937,0.023968,831.88,-13.324,0,0.495,0.048397,0.030935
11.326,-6.0882,4.2065,20.351,0.022578,882.31,10.944,0,0.495,0.030201,0.027841
11.195,-5.1788,5.2,20.914,0.020478,932.01,20.48,0,0.495,0.02414,0.027841
11.321,-6.5369,2.7216,19.713,0.024114,817.55,-11.051,0,0.495,0.042334,0.034028
11.412,-6.5321,1.8638,19.786,0.024589,804.72,-18.859,0,0.495,0.048397,0.037122
11.649,-6.9328,1.8057,19.823,0.024267,816.93,-16.09,0,0.495,0.048397,0.034028
11.079,-6.1491,2.8492,19.681,0.024447,805.09,-14.194,0,0.495,0.042334,0.037122
10.35,-2.0147,9.4966,19.719,0.015909,1289,11.561,0,0.495,0.012015,0.043309
10.237,-2.9051,8.2297,20.66,0.020802,980.05,4.3924,0,0.495,0.018075,0.043309
10.513,-2.159,9.0897,19.948,0.015902,1297.7,17.142,0,0.495,0.012015,0.040216
10.426,-3.1081,7.8861,20.781,0.020631,989.13,9.4868,0,0.495,0.018075,0.040216
10.609,-3.329,7.514,20.928,0.02022,999.71,14.675,0,0.495,0.018075,0.037122
10.395,-3.9459,6.6012,20.531,0.022759,881.03,1.8054,0,0.495,0.024137,0.040216
10.182,-3.6992,6.8879,20.512,0.022847,872.17,-2.7147,0,0.495,0.024138,0.043309
10.671,-2.3125,8.6483,20.196,0.015745,1307.9,22.818,0,0.495,0.012015,0.037122
10.183,-1.8805,9.8723,19.513,0.015875,1281.6,6.1135,0,0.495,0.012015,0.046404
10.607,-1.042,11.137,14.966,0.0065856,3281.4,13.375,0,0.495,0.005951,0.046404
10.743,-1.1212,10.7,15.164,0.0066541,3300.3,19.319,0,0.495,0.0059512,0.043309
10.469,-0.96835,11.541,14.783,0.00652,3264,7.606,0,0.495,0.0059512,0.049499
10.841,-0.59768,12.194,11.251,0.00090857,5018.2,11.268,0,0.495,0,0.049499
10.963,-0.64719,11.763,11.382,0.00093153,5047.3,17.289,0,0.495,0,0.046404
10.013,-1.7567,10.22,19.334,0.015819,1275.6,0.82469,0,0.495,0.012016,0.049499
11.082,-0.70062,11.296,11.521,0.00095609,5078,23.5,0,0.495,0,0.043309
10.044,-2.7195,8.5487,20.57,0.020857,972.47,-0.58504,0,0.495,0.018076,0.046404
9.7416,-3.2734,7.4058,20.594,0.022645,859.36,-11.491,0,0.495,0.024141,0.049499
9.9639,-3.4758,7.1553,20.532,0.022778,864.96,-7.1495,0,0.495,0.024138,0.046404
9.847,-2.55,8.8457,20.511,0.020848,966.35,-5.4232,0,0.495,0.018078,0.049499
10.876,-1.2056,10.226,15.375,0.0067244,3320.4,25.41,0,0.495,0.0059512,0.040216
11.312,-0.81908,10.241,11.814,0.0010098,5142.3,36.352,0,0.495,0,0.037122
11.199,-0.75798,10.789,11.665,0.00098225,5109.7,29.868,0,0.495,0,0.040216
11.005,-1.2945,9.7129,15.598,0.0067947,3341.5,31.607,0,0.495,0.0059512,0.037122
10.587,-5.2994,4.1038,19.807,0.024592,805.52,-11.941,0,0.495,0.036265,0.040216
10.448,-4.6788,5.3196,20.102,0.024026,830.89,-5.3724,0,0.495,0.030201,0.040216
10.333,-5.0001,4.274,19.91,0.024962,797.72,-15.458,0,0.495,0.036265,0.043309
10.211,-4.4013,5.5492,20.155,0.024184,822.41,-9.336,0,0.495,0.030201,0.043309
10.562,-5.4878,3.0733,19.87,0.025196,788.65,-20.456,0,0.495,0.042334,0.043309
10.291,-5.2081,3.173,20.095,0.025605,784.83,-23.567,0,0.495,0.042333,0.046404
10.073,-4.7311,4.4325,20.087,0.025353,792.36,-18.943,0,0.495,0.036264,0.046404
10.347,-5.3229,2.0292,20.619,0.026121,789.34,-30.007,0,0.495,0.048397,0.0495
10.626,-5.5755,1.9956,20.272,0.025716,788.3,-27.208,0,0.495,0.048397,0.046404
10.014,-4.9568,3.2656,20.398,0.026027,783.73,-26.664,0,0.495,0.042333,0.0495
10.898,-5.8577,1.9572,20.011,0.025319,790.35,-24.419,0,0.495,0.048397,0.043309
9.8088,-4.4887,4.5804,20.331,0.025758,789.31,-22.394,0,0.495,0.036265,0.049499
