"Lambda2","Q","U:0","U:1","U:2","k","nut","omega","p","vorticity:0","vorticity:1","vorticity:2","yPlus","Points:0","Points:1","Points:2"
-11014,742.36,15.485,-1.7342,-3.5769,23.81,0.02012,1186.4,-77.486,-151.77,-23.993,-380.43,0,0.33,0.11872,0.055935
-7635.1,2419,15.414,-1.1923,-3.8537,25.267,0.021364,1185.3,-79.496,-137.55,-9.9895,-400.42,0,0.33,0.11867,0.059978
1705.5,5921.3,18.764,-0.22597,-4.1787,19.87,0.016605,1195.7,-75.285,-122.48,33.101,-428.27,0,0.33,0.12669,0.064037
588.53,4264.2,18.634,-0.67711,-3.9667,18.777,0.015651,1199.6,-73.533,-135.2,20.925,-410.4,0,0.33,0.12668,0.059954
-21.026,3649.6,15.439,-0.69654,-4.1029,26.48,0.022362,1186.4,-81.195,-121.93,16.041,-414.15,0,0.33,0.11872,0.063945
-3463.4,1430.7,12.426,-1.1039,-4.1169,30.653,0.026806,1145.3,-86.923,-125.36,-0.0015013,-371.59,0,0.33,0.11077,0.063965
-65.761,1595.8,18.537,-1.1583,-3.7158,17.519,0.014525,1207,-71.675,-144.13,26.325,-380.84,0,0.33,0.12666,0.055904
8828.7,14663,0.62877,-1.3664,11.423,22.922,0.020137,1147.1,-103.42,-404.67,-71.642,48.201,0,0.33,0.015712,0.067828
85.425,-20467,1.1481,-0.83441,14.288,18.664,0.008794,2892.9,-96.215,697.47,-48.601,1869.1,0,0.33,0.0078501,0.067797
7996.7,14582,0.39348,-1.1627,11.441,22.964,0.020066,1146.5,-107.34,-406.51,-69.424,54.417,0,0.33,0.015714,0.07182
6809.7,-18208,0.9726,-0.71562,14.35,18.589,0.0087524,2886.2,-100.95,700.52,-47.623,1883.5,0,0.33,0.0078503,0.071784
-9237.9,-51627,1.4998,-0.60408,15.81,15.369,0.001157,4449.4,-92.057,1800.6,-34.985,3675.6,0,0.33,0,0.067779
5128.1,-47228,1.3606,-0.52501,15.9,15.257,0.0011428,4432.7,-97.285,1809.7,-34.453,3697,0,0.33,0,0.071767
-34290,29839,-0.121,-2.681,1.7388,25.165,0.034925,720.58,-123.35,-367.31,-112.51,-42.253,0,0.33,0.047241,0.067977
-33541,29637,-0.45857,-2.2153,1.5876,25.285,0.035584,710.59,-125.09,-370.84,-100.18,-43.466,0,0.33,0.047235,0.071973
-33182,28006,0.21566,-2.7126,-0.098054,25.821,0.035037,737.03,-123.73,-342.41,-110.5,-84.258,0,0.33,0.055167,0.067945
